Country;Volume Index under 30 $/MWh [TWh];;;;;;;;
United States;21274;;;;;;;;
China;17857;;;;;;;;
Brazil;12008;;;;;;;;
Kazakhstan;9404;;;;;;;;
Saudi Arabia;9005;;;;;;;;
Libya;7836;;;;;;;;
India;7743;;;;;;;;
Algeria;6855;;;;;;;;
Iran;6360;;;;;;;;
Canada;6350;;;;;;;;
Mexico;6317;;;;;;;;
Russia;6216;;;;;;;;
Australia;5955;;;;;;;;
Mauritania;4908;;;;;;;;
Pakistan;4179;;;;;;;;
Niger;3609;;;;;;;;
Egypt;3543;;;;;;;;
Ethiopia;2900;;;;;;;;
Nigeria;2885;;;;;;;;
Chad;2341;;;;;;;;
Turkey;2284;;;;;;;;
Chile;2212;;;;;;;;
Botswana;2206;;;;;;;;
Morocco;2170;;;;;;;;
Peru;2143;;;;;;;;
Mali;2067;;;;;;;;
Oman;2041;;;;;;;;
Kenya;2015;;;;;;;;
Western Sahara;2007;;;;;;;;
South Sudan;1974;;;;;;;;
Tanzania;1912;;;;;;;;
Turkmenistan;1819;;;;;;;;
Colombia;1762;;;;;;;;
Iraq;1662;;;;;;;;
Yemen;1284;;;;;;;;
Mongolia;1250;;;;;;;;
Burkina Faso;1162;;;;;;;;
Uzbekistan;1088;;;;;;;;
Madagascar;1088;;;;;;;;
Namibia;977;;;;;;;;
South Africa;951;;;;;;;;
Bolivia;947;;;;;;;;
Kyrgyzstan;930;;;;;;;;
Indonesia;870;;;;;;;;
Senegal;791;;;;;;;;
Angola;754;;;;;;;;
Uganda;720;;;;;;;;
Tajikistan;706;;;;;;;;
Zimbabwe;684;;;;;;;;
Spain;660;;;;;;;;
Côte d'Ivoire;647;;;;;;;;
Thailand;635;;;;;;;;
Tunisia;588;;;;;;;;
Ghana;557;;;;;;;;
Nepal;524;;;;;;;;
Uruguay;515;;;;;;;;
Democratic Republic of the Congo;487;;;;;;;;
France;460;;;;;;;;
Philippines;455;;;;;;;;
Jordan;429;;;;;;;;
Benin;419;;;;;;;;
Romania;419;;;;;;;;
Cameroon;416;;;;;;;;
Paraguay;377;;;;;;;;
Poland;341;;;;;;;;
Mozambique;316;;;;;;;;
Guinea;288;;;;;;;;
Somalia;275;;;;;;;;
Bangladesh;268;;;;;;;;
Cambodia;264;;;;;;;;
Azerbaijan;234;;;;;;;;
Norway;216;;;;;;;;
New Zealand;205;;;;;;;;
Iceland;192;;;;;;;;
Nicaragua;189;;;;;;;;
Guatemala;181;;;;;;;;
Ireland;175;;;;;;;;
Bulgaria;159;;;;;;;;
Georgia;152;;;;;;;;
Serbia;149;;;;;;;;
Togo;148;;;;;;;;
Hungary;136;;;;;;;;
Lithuania;127;;;;;;;;
Honduras;118;;;;;;;;
Central African Republic;109;;;;;;;;
Djibouti;98;;;;;;;;
Denmark;92;;;;;;;;
Panama;92;;;;;;;;
Ukraine;91;;;;;;;;
Armenia;84;;;;;;;;
Lesotho;82;;;;;;;;
Republic of Congo;82;;;;;;;;
Rwanda;76;;;;;;;;
Burundi;71;;;;;;;;
Latvia;71;;;;;;;;
Dominican Republic;66;;;;;;;;
Guinea-Bissau;65;;;;;;;;
Laos;63;;;;;;;;
Albania;62;;;;;;;;
Papua New Guinea;58;;;;;;;;
Macedonia;58;;;;;;;;
Croatia;56;;;;;;;;
Greece;53;;;;;;;;
Bosnia and Herzegovina;51;;;;;;;;
Costa Rica;48;;;;;;;;
Gambia;48;;;;;;;;
Portugal;47;;;;;;;;
El Salvador;39;;;;;;;;
Timor-Leste;32;;;;;;;;
Sri Lanka;31;;;;;;;;
Montenegro;28;;;;;;;;
Kosovo;23;;;;;;;;
Guyana;21;;;;;;;;
Gabon;21;;;;;;;;
Estonia;21;;;;;;;;
Malawi;20;;;;;;;;
Moldova;20;;;;;;;;
Slovakia;17;;;;;;;;
Haiti;13;;;;;;;;
Jamaica;9;;;;;;;;
Bhutan;7;;;;;;;;
Czech Republic;6;;;;;;;;
Cyprus;6;;;;;;;;
French Guiana;2;;;;;;;;
Belize;1;;;;;;;;
Sierra Leone;-1;;;;;;;;
Liberia;-2;;;;;;;;
Eritrea;-2;;;;;;;;
Palestina;-7;;;;;;;;
Suriname;-8;;;;;;;;
Switzerland;-9;;;;;;;;
Equatorial Guinea;-9;;;;;;;;
Swaziland;-10;;;;;;;;
Brunei;-12;;;;;;;;
Slovenia;-12;;;;;;;;
Austria;-13;;;;;;;;
Luxembourg;-16;;;;;;;;
Puerto Rico;-16;;;;;;;;
Cuba;-19;;;;;;;;
Italy;-20;;;;;;;;
Afghanistan;-20;;;;;;;;
Trinidad and Tobago;-33;;;;;;;;
North Korea;-45;;;;;;;;
Myanmar;-57;;;;;;;;
Zambia;-58;;;;;;;;
United Kingdom;-60;;;;;;;;
Vietnam;-68;;;;;;;;
Sudan;-76;;;;;;;;
Ecuador;-81;;;;;;;;
Belarus;-83;;;;;;;;
Syria;-99;;;;;;;;
Lebanon;-100;;;;;;;;
Sweden;-103;;;;;;;;
Belgium;-116;;;;;;;;
Finland;-140;;;;;;;;
Netherlands;-141;;;;;;;;
Qatar;-211;;;;;;;;
Israel;-260;;;;;;;;
Malaysia;-281;;;;;;;;
Kuwait;-322;;;;;;;;
Venezuela;-351;;;;;;;;
Germany;-474;;;;;;;;
Argentina;-575;;;;;;;;
South Korea;-1806;;;;;;;;
Japan;-2012;;;;;;;;
